"Year","Geography","Type of materials diverted","Sources of materials prepared for recycling","GeoCode","Value"
"2023","Canada","Copper and aluminum","Residential sources of diverted materials",,1.24856775764781
"2023","Canada","Copper and aluminum","Non-residential sources of diverted materials",,1.12886465729257
"2023","Canada","Mixed metals","All sources of diverted materials",,2.99397579290694
"2023","Canada","Mixed metals","Residential sources of diverted materials",,1.30287611043727
"2023","Canada","Mixed metals","Non-residential sources of diverted materials",,1.69137434540332
"2023","Canada","White goods","All sources of diverted materials",,2.01320439556576
"2023","Canada","White goods","Residential sources of diverted materials",,1.4064240364225
"2023","Canada","White goods","Non-residential sources of diverted materials",,0.605956370342316
"2023","Canada","Electronics","All sources of diverted materials",,2.26834129156699
"2023","Canada","Electronics","Residential sources of diverted materials",,
"2023","Canada","Electronics","Non-residential sources of diverted materials",,
"2023","Canada","Plastics","All sources of diverted materials",,7.35662195353862
"2023","Canada","Plastics","Residential sources of diverted materials",,5.33872331874324
"2023","Canada","Plastics","Non-residential sources of diverted materials",,2.01839802194747
"2023","Canada","Gable top and aseptic containers","All sources of diverted materials",,0.539687695260377
"2023","Canada","Gable top and aseptic containers","Residential sources of diverted materials",,0.416688639701358
"2023","Canada","Gable top and aseptic containers","Non-residential sources of diverted materials",,0.123048994274227
"2023","Canada","Textiles","All sources of diverted materials",,0.265524148764636
"2023","Canada","Textiles","Residential sources of diverted materials",,0.221952619745049
"2023","Canada","Textiles","Non-residential sources of diverted materials",,0.0435715290195872
"2023","Canada","Tires","All sources of diverted materials",,9.89787832372113
"2023","Canada","Tires","Residential sources of diverted materials",,
"2023","Canada","Tires","Non-residential sources of diverted materials",,
"2023","Canada","Construction, renovation and demolition","All sources of diverted materials",,15.0891825551683
"2023","Canada","Construction, renovation and demolition","Residential sources of diverted materials",,1.42819731625349
"2023","Canada","Construction, renovation and demolition","Non-residential sources of diverted materials",,13.660910330842
"2023","Canada","All organic materials","All sources of diverted materials",,76.2756694983916
"2023","Canada","All organic materials","Residential sources of diverted materials",,63.6918873158859
"2023","Canada","All organic materials","Non-residential sources of diverted materials",,12.5838570905784
"2023","Canada","Food waste and source separated organics","All sources of diverted materials",,42.8324360344985
"2023","Canada","Food waste and source separated organics","Residential sources of diverted materials",,38.4720371160512
"2023","Canada","Food waste and source separated organics","Non-residential sources of diverted materials",,4.36042388780489
"2023","Canada","Leaf and yard waste","All sources of diverted materials",,25.2501629999664
"2023","Canada","Leaf and yard waste","Residential sources of diverted materials",,21.9260673301724
"2023","Canada","Leaf and yard waste","Non-residential sources of diverted materials",,3.32409566979403
"2023","Canada","Other organic materials","All sources of diverted materials",,8.19307046392667
"2023","Canada","Other organic materials","Residential sources of diverted materials",,3.29378286966235
"2023","Canada","Other organic materials","Non-residential sources of diverted materials",,4.89933753297953
"2023","Canada","Other materials","All sources of diverted materials",,0.874277087158639
"2023","Canada","Other materials","Residential sources of diverted materials",,0.405677152997841
"2023","Canada","Other materials","Non-residential sources of diverted materials",,0.468624903518402
"2023","Newfoundland and Labrador","All materials diverted","All sources of diverted materials",10,100.007609657955
"2023","Newfoundland and Labrador","All materials diverted","Residential sources of diverted materials",10,
"2023","Newfoundland and Labrador","All materials diverted","Non-residential sources of diverted materials",10,
"2023","Newfoundland and Labrador","All paper fibres","All sources of diverted materials",10,56.781040444404
"2023","Newfoundland and Labrador","All paper fibres","Residential sources of diverted materials",10,23.4191863605233
"2023","Newfoundland and Labrador","All paper fibres","Non-residential sources of diverted materials",10,33.3655661121515
"2023","Newfoundland and Labrador","Glass","All sources of diverted materials",10,
"2023","Newfoundland and Labrador","Glass","Residential sources of diverted materials",10,
"2023","Newfoundland and Labrador","Glass","Non-residential sources of diverted materials",10,0
"2023","Newfoundland and Labrador","Ferrous metals","All sources of diverted materials",10,1.15815282049188
"2023","Newfoundland and Labrador","Ferrous metals","Residential sources of diverted materials",10,
"2023","Newfoundland and Labrador","Ferrous metals","Non-residential sources of diverted materials",10,
"2023","Newfoundland and Labrador","Copper and aluminum","All sources of diverted materials",10,0.642180890849665
"2023","Newfoundland and Labrador","Copper and aluminum","Residential sources of diverted materials",10,0.384194926028557
"2023","Newfoundland and Labrador","Copper and aluminum","Non-residential sources of diverted materials",10,0.259841978956512
"2023","Newfoundland and Labrador","Mixed metals","All sources of diverted materials",10,2.49819502625332
"2023","Newfoundland and Labrador","Mixed metals","Residential sources of diverted materials",10,
"2023","Newfoundland and Labrador","Mixed metals","Non-residential sources of diverted materials",10,
"2023","Newfoundland and Labrador","White goods","All sources of diverted materials",10,
"2023","Newfoundland and Labrador","White goods","Residential sources of diverted materials",10,
"2023","Newfoundland and Labrador","White goods","Non-residential sources of diverted materials",10,
"2023","Newfoundland and Labrador","Electronics","All sources of diverted materials",10,
"2023","Newfoundland and Labrador","Electronics","Residential sources of diverted materials",10,
"2023","Newfoundland and Labrador","Electronics","Non-residential sources of diverted materials",10,
"2023","Newfoundland and Labrador","Plastics","All sources of diverted materials",10,
"2023","Newfoundland and Labrador","Plastics","Residential sources of diverted materials",10,
"2023","Newfoundland and Labrador","Plastics","Non-residential sources of diverted materials",10,
"2023","Newfoundland and Labrador","Gable top and aseptic containers","All sources of diverted materials",10,1.39015458741734
"2023","Newfoundland and Labrador","Gable top and aseptic containers","Residential sources of diverted materials",10,0.93914315251425
"2023","Newfoundland and Labrador","Gable top and aseptic containers","Non-residential sources of diverted materials",10,0.452867449038492
"2023","Newfoundland and Labrador","Textiles","All sources of diverted materials",10,0
"2023","Newfoundland and Labrador","Textiles","Residential sources of diverted materials",10,0
"2023","Newfoundland and Labrador","Textiles","Non-residential sources of diverted materials",10,0
"2023","Newfoundland and Labrador","Tires","All sources of diverted materials",10,12.2701094491536
